type_value,total_count,pct_of_typed,cumulative_pct,provinces,currently_mapped_to,proposed_category,proposed_murb_positive
Post Office,24,0.0011,99.851,AB;BC;NS;ON,UNMAPPED -> dropped,commercial,False
Detached garage,23,0.0011,99.8521,ON,UNMAPPED -> dropped,other,False
Parking Structure,23,0.0011,99.8532,NS,UNMAPPED -> dropped,,False
Transportation Facility,23,0.0011,99.8543,NB;ON,UNMAPPED -> dropped,,False
Health Centre,23,0.0011,99.8554,ON,UNMAPPED -> dropped,,False
D,23,0.0011,99.8565,ON,UNMAPPED -> dropped,,False
Public Works Depot,23,0.0011,99.8576,NS,UNMAPPED -> dropped,institutional,False
Emergency,22,0.001,99.8586,ON,UNMAPPED -> dropped,,False
Cafe,22,0.001,99.8596,ON,UNMAPPED -> dropped,,False
Multi-Use,22,0.001,99.8606,BC,UNMAPPED -> dropped,,False
Theatre / Performance,22,0.001,99.8616,BC,UNMAPPED -> dropped,,False
Alternative Education,22,0.001,99.8626,ON,UNMAPPED -> dropped,,False
Other Institutional,22,0.001,99.8636,AB,UNMAPPED -> dropped,institutional,False
Bibliothèque,22,0.001,99.8646,QC,UNMAPPED -> dropped,,False
Transport,22,0.001,99.8656,BC,UNMAPPED -> dropped,,False
Aréna,21,0.001,99.8666,QC,UNMAPPED -> dropped,,False
FD,21,0.001,99.8676,ON,UNMAPPED -> dropped,,False
Centre commercial,21,0.001,99.8686,QC,UNMAPPED -> dropped,commercial,False
Prefabricated,21,0.001,99.8696,ON,UNMAPPED -> dropped,,False
Park Pavilion,21,0.001,99.8706,ON,UNMAPPED -> dropped,other,False
Bibliothèque publique,20,0.0009,99.8715,QC,UNMAPPED -> dropped,,False
SCHL,20,0.0009,99.8724,NT,UNMAPPED -> dropped,,False
Airport Support,20,0.0009,99.8733,NS,UNMAPPED -> dropped,,False
Piscine intérieure,20,0.0009,99.8742,QC,UNMAPPED -> dropped,other,False
Semi-Detached + SU,20,0.0009,99.8751,ON,UNMAPPED -> dropped,low_rise_residential,False
Lumber Mill / Saw Mill,20,0.0009,99.876,NS;ON,UNMAPPED -> dropped,,False
