type_value,total_count,pct_of_typed,cumulative_pct,provinces,currently_mapped_to,proposed_category,proposed_murb_positive
Hotel / Motel,130,0.0061,99.4483,AB;NS;ON,UNMAPPED -> dropped,commercial,False
ComFac,128,0.006,99.4543,ON,UNMAPPED -> dropped,,False
LRT Stations and Shelters,127,0.006,99.4603,AB,UNMAPPED -> dropped,,False
Hôpital,126,0.0059,99.4662,QC,UNMAPPED -> dropped,institutional,False
Cemetery,126,0.0059,99.4721,AB;BC;ON,UNMAPPED -> dropped,,False
Recreation Facility,122,0.0057,99.4778,BC;NS;ON;SK,UNMAPPED -> dropped,institutional,False
Fish Shed,121,0.0057,99.4835,NS,UNMAPPED -> dropped,other,False
Personal Service,118,0.0055,99.489,NS,UNMAPPED -> dropped,commercial,False
Medical Office,117,0.0055,99.4945,NS,UNMAPPED -> dropped,commercial,False
Municipal,116,0.0054,99.4999,BC;ON;QC,UNMAPPED -> dropped,institutional,False
Apartment Block,113,0.0053,99.5052,BC,UNMAPPED -> dropped,apartment,True
Auto Dealership,111,0.0052,99.5104,NB;NS,UNMAPPED -> dropped,,False
Supermarket,111,0.0052,99.5156,NS;ON,UNMAPPED -> dropped,,False
comm,107,0.005,99.5206,BC,UNMAPPED -> dropped,,False
Greenhouse / Nursery,105,0.0049,99.5255,ON,UNMAPPED -> dropped,other,False
Golf Course,105,0.0049,99.5304,BC;ON,UNMAPPED -> dropped,,False
Commerce,103,0.0048,99.5352,QC,UNMAPPED -> dropped,,False
Point of Interest,103,0.0048,99.54,ON,UNMAPPED -> dropped,,False
Shelter,101,0.0047,99.5447,BC;ON,UNMAPPED -> dropped,,False
Shop,101,0.0047,99.5494,BC;ON,UNMAPPED -> dropped,commercial,False
Hotel,101,0.0047,99.5541,BC;NB;NT;ON,UNMAPPED -> dropped,commercial,False
Catholic Elementary School,100,0.0047,99.5588,ON,UNMAPPED -> dropped,institutional,False
Ski,100,0.0047,99.5635,BC,UNMAPPED -> dropped,,False
Sixplex,100,0.0047,99.5682,ON,UNMAPPED -> dropped,,False
High-rise Residential,98,0.0046,99.5728,ON,UNMAPPED -> dropped,residential,False
Église,98,0.0046,99.5774,QC,UNMAPPED -> dropped,institutional,False
Residential-High Rise,97,0.0046,99.582,BC,UNMAPPED -> dropped,residential,False
Medical,97,0.0046,99.5866,BC;ON,UNMAPPED -> dropped,,False
Mixed Office / Light Employment,96,0.0045,99.5911,ON,UNMAPPED -> dropped,commercial,False
Lift Station,95,0.0045,99.5956,BC;NB,UNMAPPED -> dropped,,False
Nursing Home,95,0.0045,99.6001,AB;NB;NS;ON,UNMAPPED -> dropped,,False
Serre,92,0.0043,99.6044,QC,UNMAPPED -> dropped,other,False
Hôtel,88,0.0041,99.6085,QC,UNMAPPED -> dropped,,False
Arena,87,0.0041,99.6126,AB;BC;NB;ON;SK,UNMAPPED -> dropped,institutional,False
Marina,84,0.0039,99.6165,ON,UNMAPPED -> dropped,,False
Livestock Shelter,83,0.0039,99.6204,AB,UNMAPPED -> dropped,,False
Retirement Home,83,0.0039,99.6243,ON,UNMAPPED -> dropped,,False
Baseball Facility,82,0.0038,99.6281,ON,UNMAPPED -> dropped,,False
Grain Elevator,81,0.0038,99.6319,AB;BC;MB;ON;QC;SK,UNMAPPED -> dropped,industrial,False
Religious Structure,81,0.0038,99.6357,NB,UNMAPPED -> dropped,,False
Seniors Residential Complex,81,0.0038,99.6395,NS,UNMAPPED -> dropped,residential,False
Airport Facility,80,0.0038,99.6433,NB;ON,UNMAPPED -> dropped,,False
High Rise Apartment,79,0.0037,99.647,BC;ON,apartment,apartment,True
Chalet,78,0.0037,99.6507,QC,UNMAPPED -> dropped,,False
Lakeshore Residential Building,76,0.0036,99.6543,ON,UNMAPPED -> dropped,residential,False
Recreational,76,0.0036,99.6579,ON,UNMAPPED -> dropped,institutional,False
Community,75,0.0035,99.6614,AB;BC;ON,UNMAPPED -> dropped,,False
Fiveplex,73,0.0034,99.6648,ON,UNMAPPED -> dropped,,False
Museum / Gallery,73,0.0034,99.6682,BC;ON,UNMAPPED -> dropped,,False
Pump Station,71,0.0033,99.6715,NS,UNMAPPED -> dropped,,False
Commercial Storage,71,0.0033,99.6748,NS,UNMAPPED -> dropped,commercial,False
Industriel,71,0.0033,99.6781,QC,UNMAPPED -> dropped,industrial,False
Bank,70,0.0033,99.6814,NB;NS;ON,UNMAPPED -> dropped,,False
Agriculture Facility,69,0.0032,99.6846,NS,UNMAPPED -> dropped,other,False
Railroad Facility,68,0.0032,99.6878,ON,UNMAPPED -> dropped,,False
Pit/Quarry,67,0.0031,99.6909,ON,UNMAPPED -> dropped,,False
Fire Hall,65,0.0031,99.694,AB;BC;NS;ON,UNMAPPED -> dropped,,False
Grocery Store,64,0.003,99.697,NB;ON,UNMAPPED -> dropped,commercial,False
Shopping Mall / Complex,63,0.003,99.7,NB;ON,UNMAPPED -> dropped,,False
Station de métro,63,0.003,99.703,QC,UNMAPPED -> dropped,,False
Industrial/General,62,0.0029,99.7059,AB,UNMAPPED -> dropped,industrial,False
Bâtiment historique / patrimonial,61,0.0029,99.7088,QC,UNMAPPED -> dropped,,False
Piscine publique,61,0.0029,99.7117,QC,UNMAPPED -> dropped,other,False
Religious Facility,59,0.0028,99.7145,ON,UNMAPPED -> dropped,,False
Centre communautaire,58,0.0027,99.7172,QC,UNMAPPED -> dropped,,False
Amenity,58,0.0027,99.7199,BC,UNMAPPED -> dropped,,False
Théâtre / salle de spectacle / petit lieu de diffusion,57,0.0027,99.7226,QC,UNMAPPED -> dropped,,False
Fire,57,0.0027,99.7253,AB;BC;ON,UNMAPPED -> dropped,,False
Studio/Rehearsal,55,0.0026,99.7279,BC,UNMAPPED -> dropped,,False
Purpose Built,53,0.0025,99.7304,ON,UNMAPPED -> dropped,,False
Institutionnel,51,0.0024,99.7328,QC,UNMAPPED -> dropped,institutional,False
Municipal Facility,51,0.0024,99.7352,AB;NB;ON,UNMAPPED -> dropped,institutional,False
Community Hall,49,0.0023,99.7375,AB;BC;ON,UNMAPPED -> dropped,,False
General Recreation or Landmark Facility,49,0.0023,99.7398,ON,UNMAPPED -> dropped,institutional,False
Government Service,47,0.0022,99.742,ON,UNMAPPED -> dropped,institutional,False
Parcs,46,0.0022,99.7442,QC,UNMAPPED -> dropped,,False
Mixed Industrial/Commercial,46,0.0022,99.7464,AB,UNMAPPED -> dropped,industrial,False
Secondary School,46,0.0022,99.7486,BC;ON,UNMAPPED -> dropped,institutional,False
Police Station,46,0.0022,99.7508,AB;BC;NB;NS;ON;SK,UNMAPPED -> dropped,institutional,False
Recreation Centre,46,0.0022,99.753,AB;BC;NB;NS;ON,UNMAPPED -> dropped,institutional,False
Retail,45,0.0021,99.7551,ON,commercial,commercial,False
Bunkhouse,45,0.0021,99.7572,ON,UNMAPPED -> dropped,,False
Derelict / Abandoned,45,0.0021,99.7593,NS,UNMAPPED -> dropped,,False
Fort,45,0.0021,99.7614,ON,UNMAPPED -> dropped,,False
House,45,0.0021,99.7635,ON,residential_single,residential_single,False
Energy Facility,44,0.0021,99.7656,NB;ON,UNMAPPED -> dropped,,False
Mixed Use - Residential with Service/Retail/Office,42,0.002,99.7676,AB,UNMAPPED -> dropped,mixed_use,False
Institutional Residence / Dorm / Barracks,42,0.002,99.7696,ON,UNMAPPED -> dropped,institutional,False
Land Use Contract,42,0.002,99.7716,BC,UNMAPPED -> dropped,,False
Lieu d'interprétation,41,0.0019,99.7735,QC,UNMAPPED -> dropped,,False
Health or Medical Facility,41,0.0019,99.7754,NB;ON,UNMAPPED -> dropped,,False
Childcare,41,0.0019,99.7773,BC;ON,UNMAPPED -> dropped,,False
Musée,40,0.0019,99.7792,QC,UNMAPPED -> dropped,,False
Senior,40,0.0019,99.7811,BC,UNMAPPED -> dropped,,False
Water Supply or Treatment Facility,40,0.0019,99.783,NB;ON,UNMAPPED -> dropped,,False
Community/Recreation Centre,39,0.0018,99.7848,ON,UNMAPPED -> dropped,institutional,False
Granny Flat,38,0.0018,99.7866,ON,UNMAPPED -> dropped,,False
Nursing and Retirement Home,38,0.0018,99.7884,ON,UNMAPPED -> dropped,,False
Treatment Plant,38,0.0018,99.7902,NS,UNMAPPED -> dropped,,False
Solar Facility,37,0.0017,99.7919,ON,UNMAPPED -> dropped,,False
Cégep et université,36,0.0017,99.7936,QC,UNMAPPED -> dropped,institutional,False
Provincial Facility,36,0.0017,99.7953,NB;ON,UNMAPPED -> dropped,,False
Fish Plant,36,0.0017,99.797,NS,UNMAPPED -> dropped,,False
Funeral Home,35,0.0016,99.7986,NB;NS;ON,UNMAPPED -> dropped,,False
Community Resource,35,0.0016,99.8002,ON,UNMAPPED -> dropped,,False
Recycling Facility,34,0.0016,99.8018,NS;ON,UNMAPPED -> dropped,,False
Independent School,34,0.0016,99.8034,BC,UNMAPPED -> dropped,institutional,False
Laboratory/Research,34,0.0016,99.805,NS,UNMAPPED -> dropped,,False
Police Facility,34,0.0016,99.8066,ON,UNMAPPED -> dropped,institutional,False
Major Institutional,34,0.0016,99.8082,ON,UNMAPPED -> dropped,institutional,False
Public Utilities,34,0.0016,99.8098,AB,UNMAPPED -> dropped,institutional,False
Ski Hill,33,0.0015,99.8113,ON,UNMAPPED -> dropped,,False
Administrative,33,0.0015,99.8128,AB;BC;ON,UNMAPPED -> dropped,,False
OS,32,0.0015,99.8143,ON,UNMAPPED -> dropped,,False
Washroom facility//Toilettes,31,0.0015,99.8158,AB;NS;ON;QC;YT,UNMAPPED -> dropped,other,False
Dup / 4plex,31,0.0015,99.8173,BC,UNMAPPED -> dropped,,False
Model Home,30,0.0014,99.8187,ON,UNMAPPED -> dropped,,False
Boarding House,30,0.0014,99.8201,NS,UNMAPPED -> dropped,residential_single,False
Centre sportif intérieur,30,0.0014,99.8215,QC,UNMAPPED -> dropped,,False
Brewery,30,0.0014,99.8229,NS;ON,UNMAPPED -> dropped,,False
Public High School,30,0.0014,99.8243,ON;SK,UNMAPPED -> dropped,institutional,False
Garbage and Recycling,29,0.0014,99.8257,BC,UNMAPPED -> dropped,,False
Community Space,28,0.0013,99.827,BC,UNMAPPED -> dropped,,False
Strip Mall,27,0.0013,99.8283,NS,UNMAPPED -> dropped,,False
Motel,27,0.0013,99.8296,ON,UNMAPPED -> dropped,commercial,False
Centre de service gouvernemental,27,0.0013,99.8309,QC,UNMAPPED -> dropped,commercial,False
City,27,0.0013,99.8322,NT,UNMAPPED -> dropped,,False
Caserne de pompiers,26,0.0012,99.8334,QC,UNMAPPED -> dropped,,False
Information or Communication Facility,26,0.0012,99.8346,NB;ON,UNMAPPED -> dropped,,False
Detached Garage + SU,26,0.0012,99.8358,ON,UNMAPPED -> dropped,other,False
UB,26,0.0012,99.837,ON,UNMAPPED -> dropped,,False
Residential Care Facility,26,0.0012,99.8382,NS,UNMAPPED -> dropped,residential,False
Separate Elementary School,25,0.0012,99.8394,SK,UNMAPPED -> dropped,institutional,False
Veterinary Clinic,25,0.0012,99.8406,NS,UNMAPPED -> dropped,,False
Adult Residential Facility,25,0.0012,99.8418,NB,UNMAPPED -> dropped,residential,False
Health / Medical Facility,25,0.0012,99.843,NB,UNMAPPED -> dropped,,False
Theatre,25,0.0012,99.8442,AB;NB;NS;ON,UNMAPPED -> dropped,,False
Police de quartier,25,0.0012,99.8454,QC,UNMAPPED -> dropped,institutional,False
Other Recreation,25,0.0012,99.8466,BC,UNMAPPED -> dropped,institutional,False
Bed & Breakfast,24,0.0011,99.8477,NS,UNMAPPED -> dropped,,False
Fire Station / EMS Station,24,0.0011,99.8488,NB;ON,UNMAPPED -> dropped,institutional,False
Golf,24,0.0011,99.8499,BC,UNMAPPED -> dropped,,False
