type_value,total_count,n_provinces,provinces,pct_of_typed,cumulative_pct,top_province,currently_mapped_to,currently_murb_evidence,decision_category,decision_is_murb_evidence,reviewer_notes
Ba,246,1,ON,0.0115,99.0898,ON,UNMAPPED -> dropped,no,,,
QUONSET,235,1,ON,0.011,99.1008,ON,UNMAPPED -> dropped,no,,,
Public School,223,3,BC;NS;ON,0.0105,99.1113,NS,UNMAPPED -> dropped,no,,,
Plex,222,1,ON,0.0104,99.1217,ON,UNMAPPED -> dropped,no,,,
Bâtiment public,213,1,QC,0.01,99.1317,QC,UNMAPPED -> dropped,no,,,
Library,213,5,AB;BC;NB;NS;ON,0.01,99.1417,ON,UNMAPPED -> dropped,no,,,
Townhouse/Fourplex - R4,209,1,AB,0.0098,99.1515,AB,UNMAPPED -> dropped,no,,,
Hospital,200,6,AB;BC;NB;NS;ON;SK,0.0094,99.1609,NS,institutional,no,,,
Cabin,200,3,BC;NB;ON,0.0094,99.1703,ON,UNMAPPED -> dropped,no,,,
Parking Garage,196,3,AB;NB;ON,0.0092,99.1795,AB,UNMAPPED -> dropped,no,,,
Utility Facility,195,1,NS,0.0092,99.1887,NS,UNMAPPED -> dropped,no,,,
Mobile Home Residential - MHR,190,1,AB,0.0089,99.1976,AB,UNMAPPED -> dropped,no,,,
Organisme communautaire et centre de loisirs,186,1,QC,0.0087,99.2063,QC,UNMAPPED -> dropped,no,,,
Daycare,185,4,AB;NB;NS;ON,0.0087,99.215,NS,UNMAPPED -> dropped,no,,,
Mixed Use,184,2,BC;NS,0.0086,99.2236,BC,mixed_use,yes,,,
Social Club,180,1,NS,0.0084,99.232,NS,UNMAPPED -> dropped,no,,,
Park,169,3,BC;NB;ON,0.0079,99.2399,BC,other,no,,,
Édifice municipal,166,1,QC,0.0078,99.2477,QC,UNMAPPED -> dropped,no,,,
Storage Tank,165,1,BC,0.0077,99.2554,BC,UNMAPPED -> dropped,no,,,
Park Facility,163,2,NS;ON,0.0077,99.2631,NS,UNMAPPED -> dropped,no,,,
General_Employment,163,1,ON,0.0077,99.2708,ON,UNMAPPED -> dropped,no,,,
Multiple Use,162,1,BC,0.0076,99.2784,BC,UNMAPPED -> dropped,no,,,
Commercial - Service/Retail/Office,162,1,AB,0.0076,99.286,AB,UNMAPPED -> dropped,no,,,
IndBuild,162,1,ON,0.0076,99.2936,ON,UNMAPPED -> dropped,no,,,
Shopping Centre,159,5,AB;BC;NB;NS;ON,0.0075,99.3011,AB,UNMAPPED -> dropped,no,,,
Museum,159,5,AB;BC;NB;NS;ON,0.0075,99.3086,ON,UNMAPPED -> dropped,no,,,
Mobile Home Park - MHP,158,1,AB,0.0074,99.316,AB,UNMAPPED -> dropped,no,,,
Tank,157,1,BC,0.0074,99.3234,BC,UNMAPPED -> dropped,no,,,
Post Secondary School,155,3,NB;NS;ON,0.0073,99.3307,NS,UNMAPPED -> dropped,no,,,
Factor/Plant,154,1,NS,0.0072,99.3379,NS,UNMAPPED -> dropped,no,,,
Public Areas,154,1,BC,0.0072,99.3451,BC,UNMAPPED -> dropped,no,,,
NHS,152,1,ON,0.0071,99.3522,ON,UNMAPPED -> dropped,no,,,
Washroom,152,1,BC,0.0071,99.3593,BC,UNMAPPED -> dropped,no,,,
Gas Station,141,3,NB;NS;ON,0.0066,99.3659,NS,UNMAPPED -> dropped,no,,,
Group Home,140,2,NB;NS,0.0066,99.3725,NS,UNMAPPED -> dropped,no,,,
Addition,139,2,BC;ON,0.0065,99.379,ON,UNMAPPED -> dropped,no,,,
Restaurant / Eating Establishment,139,2,NB;ON,0.0065,99.3855,ON,UNMAPPED -> dropped,no,,,
Seniors Home,139,2,NB;ON,0.0065,99.392,NB,UNMAPPED -> dropped,no,,,
Heritage Site,136,1,BC,0.0064,99.3984,BC,UNMAPPED -> dropped,no,,,
Low Rise Residential,136,2,BC;ON,0.0064,99.4048,ON,UNMAPPED -> dropped,no,,,
Worship Centre,135,1,ON,0.0063,99.4111,ON,UNMAPPED -> dropped,no,,,
Hotel/Visitor Accommodation,134,1,AB,0.0063,99.4174,AB,UNMAPPED -> dropped,no,,,
Infrastructure,133,1,ON,0.0062,99.4236,ON,UNMAPPED -> dropped,no,,,
Dormitory,132,2,NS;ON,0.0062,99.4298,NS,UNMAPPED -> dropped,no,,,
Airport,132,2,NT;ON,0.0062,99.436,ON,UNMAPPED -> dropped,no,,,
École secondaire et professionnelle,132,1,QC,0.0062,99.4422,QC,UNMAPPED -> dropped,no,,,
Hotel / Motel,130,3,AB;NS;ON,0.0061,99.4483,NS,UNMAPPED -> dropped,no,,,
ComFac,128,1,ON,0.006,99.4543,ON,UNMAPPED -> dropped,no,,,
LRT Stations and Shelters,127,1,AB,0.006,99.4603,AB,UNMAPPED -> dropped,no,,,
Hôpital,126,1,QC,0.0059,99.4662,QC,UNMAPPED -> dropped,no,,,
Cemetery,126,3,AB;BC;ON,0.0059,99.4721,ON,UNMAPPED -> dropped,no,,,
Recreation Facility,122,4,BC;NS;ON;SK,0.0057,99.4778,NS,UNMAPPED -> dropped,no,,,
Fish Shed,121,1,NS,0.0057,99.4835,NS,UNMAPPED -> dropped,no,,,
Personal Service,118,1,NS,0.0055,99.489,NS,UNMAPPED -> dropped,no,,,
Medical Office,117,1,NS,0.0055,99.4945,NS,UNMAPPED -> dropped,no,,,
Municipal,116,3,BC;ON;QC,0.0054,99.4999,QC,UNMAPPED -> dropped,no,,,
Apartment Block,113,1,BC,0.0053,99.5052,BC,UNMAPPED -> dropped,no,,,
Auto Dealership,111,2,NB;NS,0.0052,99.5104,NS,UNMAPPED -> dropped,no,,,
Supermarket,111,2,NS;ON,0.0052,99.5156,ON,UNMAPPED -> dropped,no,,,
comm,107,1,BC,0.005,99.5206,BC,UNMAPPED -> dropped,no,,,
Greenhouse / Nursery,105,1,ON,0.0049,99.5255,ON,UNMAPPED -> dropped,no,,,
Golf Course,105,2,BC;ON,0.0049,99.5304,ON,UNMAPPED -> dropped,no,,,
Commerce,103,1,QC,0.0048,99.5352,QC,UNMAPPED -> dropped,no,,,
Point of Interest,103,1,ON,0.0048,99.54,ON,UNMAPPED -> dropped,no,,,
Shelter,101,2,BC;ON,0.0047,99.5447,BC,UNMAPPED -> dropped,no,,,
Shop,101,2,BC;ON,0.0047,99.5494,ON,UNMAPPED -> dropped,no,,,
Hotel,101,4,BC;NB;NT;ON,0.0047,99.5541,BC,UNMAPPED -> dropped,no,,,
Catholic Elementary School,100,1,ON,0.0047,99.5588,ON,UNMAPPED -> dropped,no,,,
