type_value,total_count,n_provinces,provinces,pct_of_typed,cumulative_pct,top_province,currently_mapped_to,currently_murb_evidence,decision_category,decision_is_murb_evidence,reviewer_notes
Ontario Works/Social Housing/Child Services,3,1,ON,0.0001,99.9731,ON,UNMAPPED -> dropped,no,,,
Hockey Arena,3,1,ON,0.0001,99.9732,ON,UNMAPPED -> dropped,no,,,
Catholic High School,3,1,ON,0.0001,99.9733,ON,UNMAPPED -> dropped,no,,,
Cafe / Restaurant / Retail,3,1,ON,0.0001,99.9734,ON,UNMAPPED -> dropped,no,,,
Bank of Canada,3,1,ON,0.0001,99.9735,ON,UNMAPPED -> dropped,no,,,
Bus Station / Dispatch Facility,3,1,ON,0.0001,99.9736,ON,UNMAPPED -> dropped,no,,,
City Facility,3,1,ON,0.0001,99.9737,ON,UNMAPPED -> dropped,no,,,
Care and Treatment Occupancy,3,1,ON,0.0001,99.9738,ON,UNMAPPED -> dropped,no,,,
Stables,3,2,BC;ON,0.0001,99.9739,BC,UNMAPPED -> dropped,no,,,
Legislative,3,2,BC;NS,0.0001,99.974,NS,UNMAPPED -> dropped,no,,,
Water Reservoir,3,1,BC,0.0001,99.9741,BC,UNMAPPED -> dropped,no,,,
Workshop,3,2,BC;ON,0.0001,99.9742,BC,UNMAPPED -> dropped,no,,,
Library / Museum / Theatre,3,1,BC,0.0001,99.9743,BC,UNMAPPED -> dropped,no,,,
Information Centre,3,2,BC;NS,0.0001,99.9744,BC,UNMAPPED -> dropped,no,,,
Public Works Garage,3,1,ON,0.0001,99.9745,ON,UNMAPPED -> dropped,no,,,
Radio / TV Broadcast Facility,3,2,NB;ON,0.0001,99.9746,NB,UNMAPPED -> dropped,no,,,
Employment Services,3,2,NB;ON,0.0001,99.9747,NB,UNMAPPED -> dropped,no,,,
Floating Dock,3,1,BC,0.0001,99.9748,BC,UNMAPPED -> dropped,no,,,
Frm,3,1,ON,0.0001,99.9749,ON,UNMAPPED -> dropped,no,,,
EarlyON,3,1,ON,0.0001,99.975,ON,UNMAPPED -> dropped,no,,,
Library / Government,3,1,ON,0.0001,99.9751,ON,UNMAPPED -> dropped,no,,,
Bar,3,1,ON,0.0001,99.9752,ON,UNMAPPED -> dropped,no,,,
Elementary and Secondary School,3,1,ON,0.0001,99.9753,ON,UNMAPPED -> dropped,no,,,
Manufacturing Facility,3,1,ON,0.0001,99.9754,ON,UNMAPPED -> dropped,no,,,
Doctors Office,3,1,BC,0.0001,99.9755,BC,UNMAPPED -> dropped,no,,,
Dry Cleaning,3,1,NS,0.0001,99.9756,NS,UNMAPPED -> dropped,no,,,
Future Development Building,3,1,ON,0.0001,99.9757,ON,UNMAPPED -> dropped,no,,,
Poste de police,3,1,QC,0.0001,99.9758,QC,UNMAPPED -> dropped,no,,,
Medical Facility,3,1,NB,0.0001,99.9759,NB,UNMAPPED -> dropped,no,,,
Retail / Education / Event,3,1,ON,0.0001,99.976,ON,UNMAPPED -> dropped,no,,,
Garden Centre Greenhouse,3,1,AB,0.0001,99.9761,AB,UNMAPPED -> dropped,no,,,
Gare,3,1,QC,0.0001,99.9762,QC,UNMAPPED -> dropped,no,,,
"Restaurant, Bar, Historic Sites",3,1,ON,0.0001,99.9763,ON,UNMAPPED -> dropped,no,,,
Cottage,3,1,ON,0.0001,99.9764,ON,UNMAPPED -> dropped,no,,,
Concession,3,1,BC,0.0001,99.9765,BC,UNMAPPED -> dropped,no,,,
Community Services Agency,3,1,ON,0.0001,99.9766,ON,UNMAPPED -> dropped,no,,,
Cour municipale,3,1,QC,0.0001,99.9767,QC,UNMAPPED -> dropped,no,,,
Community Centre / Fitness / Recreation,3,1,ON,0.0001,99.9768,ON,UNMAPPED -> dropped,no,,,
General Residential,3,1,ON,0.0001,99.9769,ON,UNMAPPED -> dropped,no,,,
Genearl,3,1,ON,0.0001,99.977,ON,UNMAPPED -> dropped,no,,,
Government / Historic Sites,3,1,ON,0.0001,99.9771,ON,UNMAPPED -> dropped,no,,,
Child Care Centre/Preschool,3,1,ON,0.0001,99.9772,ON,UNMAPPED -> dropped,no,,,
Paper / Pulp Mill,3,1,ON,0.0001,99.9773,ON,UNMAPPED -> dropped,no,,,
Community/Rec Centre - City,3,1,ON,0.0001,99.9774,ON,UNMAPPED -> dropped,no,,,
Art Centre,3,1,BC,0.0001,99.9775,BC,UNMAPPED -> dropped,no,,,
Animal Shelter,3,3,AB;BC;ON,0.0001,99.9776,ON,UNMAPPED -> dropped,no,,,
Mental Health,3,1,ON,0.0001,99.9777,ON,UNMAPPED -> dropped,no,,,
Historic Sites / Education,3,1,ON,0.0001,99.9778,ON,UNMAPPED -> dropped,no,,,
Medical Centre,3,1,ON,0.0001,99.9779,ON,UNMAPPED -> dropped,no,,,
Railroad Station,3,1,ON,0.0001,99.978,ON,UNMAPPED -> dropped,no,,,
RAMP,3,1,BC,0.0001,99.9781,BC,UNMAPPED -> dropped,no,,,
Service-Transportation,3,1,ON,0.0001,99.9782,ON,UNMAPPED -> dropped,no,,,
Local Commercial,3,1,AB,0.0001,99.9783,AB,UNMAPPED -> dropped,no,,,
HRP SATELLITE,3,1,NS,0.0001,99.9784,NS,UNMAPPED -> dropped,no,,,
Single Family Semi-Detached Home,3,1,ON,0.0001,99.9785,ON,UNMAPPED -> dropped,no,,,
Seaplane Anchorage / Aerodrome,3,1,ON,0.0001,99.9786,ON,UNMAPPED -> dropped,no,,,
Casino,2,2,NB;ON,0.0001,99.9787,ON,UNMAPPED -> dropped,no,,,
Centres et galeries d'art,2,1,QC,0.0001,99.9788,QC,UNMAPPED -> dropped,no,,,
Montessori School,2,1,ON,0.0001,99.9789,ON,UNMAPPED -> dropped,no,,,
Mosque,2,2,BC;ON,0.0001,99.979,BC,UNMAPPED -> dropped,no,,,
Multi Commercial,2,1,NS,0.0001,99.9791,NS,UNMAPPED -> dropped,no,,,
Laundromat,2,1,NS,0.0001,99.9792,NS,UNMAPPED -> dropped,no,,,
Academic Institution,2,1,ON,0.0001,99.9793,ON,UNMAPPED -> dropped,no,,,
Aerospace,2,1,NB,0.0001,99.9794,NB,UNMAPPED -> dropped,no,,,
Law Enforcement,2,1,ON,0.0001,99.9795,ON,UNMAPPED -> dropped,no,,,
Legion,2,1,NS,0.0001,99.9796,NS,UNMAPPED -> dropped,no,,,
Bar / Restaurant / Retail,2,1,ON,0.0001,99.9797,ON,UNMAPPED -> dropped,no,,,
Accessory Dwelling Unit,2,1,ON,0.0001,99.9798,ON,UNMAPPED -> dropped,no,,,
Aircraft Maintenance Facility,2,1,ON,0.0001,99.9799,ON,UNMAPPED -> dropped,no,,,
Mid Rise Apartment,2,1,BC,0.0001,99.98,BC,UNMAPPED -> dropped,no,,,
Multi-Use (Commercial / High Rise Residential),2,1,BC,0.0001,99.9801,BC,UNMAPPED -> dropped,no,,,
COOP,2,1,ON,0.0001,99.9802,ON,UNMAPPED -> dropped,no,,,
Change Room,2,1,BC,0.0001,99.9803,BC,UNMAPPED -> dropped,no,,,
Cafe / Bar / Performance / Retail,2,1,ON,0.0001,99.9804,ON,UNMAPPED -> dropped,no,,,
Church Hall,2,1,NS,0.0001,99.9805,NS,UNMAPPED -> dropped,no,,,
Church: Chapel,2,1,ON,0.0001,99.9806,ON,UNMAPPED -> dropped,no,,,
Municipal Operations,2,1,ON,0.0001,99.9807,ON,UNMAPPED -> dropped,no,,,
Military Facility,2,1,NB,0.0001,99.9808,NB,UNMAPPED -> dropped,no,,,
HOSP,2,1,NT,0.0001,99.9809,NT,UNMAPPED -> dropped,no,,,
Gymnasium,2,1,ON,0.0001,99.981,ON,UNMAPPED -> dropped,no,,,
Grocery Store / Big Box Store,2,1,NB,0.0001,99.9811,NB,UNMAPPED -> dropped,no,,,
Museum & Archives,2,1,ON,0.0001,99.9812,ON,UNMAPPED -> dropped,no,,,
HRP COMMUNITY,2,1,NS,0.0001,99.9813,NS,UNMAPPED -> dropped,no,,,
S,2,1,ON,0.0001,99.9814,ON,UNMAPPED -> dropped,no,,,
Paramedic,2,1,ON,0.0001,99.9815,ON,UNMAPPED -> dropped,no,,,
Continuing / Community Education,2,1,ON,0.0001,99.9816,ON,UNMAPPED -> dropped,no,,,
Retreat/Spa,2,1,AB,0.0001,99.9817,AB,UNMAPPED -> dropped,no,,,
Cultural Centre,2,1,ON,0.0001,99.9818,ON,UNMAPPED -> dropped,no,,,
Sawmill - Medium,2,1,ON,0.0001,99.9819,ON,UNMAPPED -> dropped,no,,,
"Gallery/Exhibition, Education",2,1,ON,0.0001,99.982,ON,UNMAPPED -> dropped,no,,,
Chicken Coop,2,1,ON,0.0001,99.9821,ON,UNMAPPED -> dropped,no,,,
Information and Communication,2,1,NB,0.0001,99.9822,NB,UNMAPPED -> dropped,no,,,
Services publics et sociaux,2,1,QC,0.0001,99.9823,QC,UNMAPPED -> dropped,no,,,
Justice,2,1,BC,0.0001,99.9824,BC,UNMAPPED -> dropped,no,,,
Social,2,1,ON,0.0001,99.9825,ON,UNMAPPED -> dropped,no,,,
OPP,2,1,ON,0.0001,99.9826,ON,UNMAPPED -> dropped,no,,,
Natural Gas Facility,2,1,ON,0.0001,99.9827,ON,UNMAPPED -> dropped,no,,,
Hazard Land Building,2,1,ON,0.0001,99.9828,ON,UNMAPPED -> dropped,no,,,
Ops Training,2,1,ON,0.0001,99.9829,ON,UNMAPPED -> dropped,no,,,
General / Residential,2,1,ON,0.0001,99.983,ON,UNMAPPED -> dropped,no,,,
Liquor Store,2,1,NB,0.0001,99.9831,NB,UNMAPPED -> dropped,no,,,
Service-Other,2,1,ON,0.0001,99.9832,ON,UNMAPPED -> dropped,no,,,
Community Health Centre,2,1,ON,0.0001,99.9833,ON,UNMAPPED -> dropped,no,,,
Community Access Station,2,1,BC,0.0001,99.9834,BC,UNMAPPED -> dropped,no,,,
Crematorium,2,1,NS,0.0001,99.9835,NS,UNMAPPED -> dropped,no,,,
Court,2,2,AB;ON,0.0001,99.9836,AB,UNMAPPED -> dropped,no,,,
Dental Facility,2,1,ON,0.0001,99.9837,ON,UNMAPPED -> dropped,no,,,
Regional Rehabilitation Centre,2,1,NS,0.0001,99.9838,NS,UNMAPPED -> dropped,no,,,
Rehabilitation Centre,2,2,NB;ON,0.0001,99.9839,ON,UNMAPPED -> dropped,no,,,
Residential/Commercial,2,1,NB,0.0001,99.984,NB,UNMAPPED -> dropped,no,,,
Resort Residential Accessory,2,1,ON,0.0001,99.9841,ON,UNMAPPED -> dropped,no,,,
Performance / Retail,2,1,ON,0.0001,99.9842,ON,UNMAPPED -> dropped,no,,,
Retail / Education,2,1,ON,0.0001,99.9843,ON,UNMAPPED -> dropped,no,,,
Financial Services Company,2,1,ON,0.0001,99.9844,ON,UNMAPPED -> dropped,no,,,
Pier,2,1,BC,0.0001,99.9845,BC,UNMAPPED -> dropped,no,,,
Fitness/Recreation,2,1,ON,0.0001,99.9846,ON,UNMAPPED -> dropped,no,,,
Food Bank,2,2,NS;ON,0.0001,99.9847,NS,UNMAPPED -> dropped,no,,,
Food Industry Facility,2,1,ON,0.0001,99.9848,ON,UNMAPPED -> dropped,no,,,
CulturalIndustries,2,1,BC,0.0001,99.9849,BC,UNMAPPED -> dropped,no,,,
Curling Facility,2,1,ON,0.0001,99.985,ON,UNMAPPED -> dropped,no,,,
Performing Arts / Theatres,2,1,ON,0.0001,99.9851,ON,UNMAPPED -> dropped,no,,,
Apartment (High Rise),2,1,BC,0.0001,99.9852,BC,UNMAPPED -> dropped,no,,,
Independent,2,1,BC,0.0001,99.9853,BC,UNMAPPED -> dropped,no,,,
Duplex + SU,2,1,ON,0.0001,99.9854,ON,UNMAPPED -> dropped,no,,,
Market,2,1,ON,0.0001,99.9855,ON,UNMAPPED -> dropped,no,,,
Family and Children Services,2,1,ON,0.0001,99.9856,ON,UNMAPPED -> dropped,no,,,
Recycling,2,1,BC,0.0001,99.9857,BC,UNMAPPED -> dropped,no,,,
Dock Ramp,2,1,BC,0.0001,99.9858,BC,UNMAPPED -> dropped,no,,,
Energy,2,1,NB,0.0001,99.9859,NB,UNMAPPED -> dropped,no,,,
Automotive Manufacturing Facility,2,1,ON,0.0001,99.986,ON,UNMAPPED -> dropped,no,,,
EHS,2,1,NS,0.0001,99.9861,NS,UNMAPPED -> dropped,no,,,
Enloquéceme,2,1,ON,0.0001,99.9862,ON,UNMAPPED -> dropped,no,,,
Public Washroom: Year-round,2,1,ON,0.0001,99.9863,ON,UNMAPPED -> dropped,no,,,
Public Health Office,2,1,ON,0.0001,99.9864,ON,UNMAPPED -> dropped,no,,,
Indéfini,2,1,QC,0.0001,99.9865,QC,UNMAPPED -> dropped,no,,,
Transportation,2,1,ON,0.0001,99.9866,ON,UNMAPPED -> dropped,no,,,
Youth Centre,2,1,BC,0.0001,99.9867,BC,UNMAPPED -> dropped,no,,,
Winter warming hut//Abri hivernal,2,1,QC,0.0001,99.9868,QC,UNMAPPED -> dropped,no,,,
Weigh Station / Inspection Station,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Wilderness Centre,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Winery,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
YMCA,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Youth Services,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Waste Transfer Station,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Water Purification Plant,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Banking or Finance Facility,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Bar / Cafe,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Bar / Cafe / Restaurant / Performance,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Information,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Business and Personal Services,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
C,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Bar / Restaurant / Retail / Performance,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Bed and Breakfast,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Bowling Alley,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Tunnel,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Urgent Care,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
armGeneral/Residential,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Public Secondary School,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Public Transportation Facility,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Pulp / Paper / Paperboard,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Pump Building,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
QUINSET,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
RECC,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Educatioinal,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Education / Fitness / Recreation,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Education / Gallery / Exhibition,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Arts Program Facility,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Auditorium / Concert Hall,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Autre,1,1,QC,0.0,99.9868,QC,UNMAPPED -> dropped,no,,,
Backyard Suite,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Bank and Offices,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Faarm,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Enforcement and Bylaw,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Event / Education,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
FRENCH SEPARATE ELEMENTARY,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Arts Booking Facility,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Public Health,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Education / Government / Historic Sites / Library,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Education / Museum / Historic Sites,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Educationsl,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Electric Facility,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Recreation Centre/Ice Arena,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Recycling Centre,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Detached Suite,1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
Distillery,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Drinking water processing plant//Usine de traitement des eaux,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Indoor Swimming Pool,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Major Shopping,1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
Mall,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Manufacturing Warehouse,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Medical Facility/Offices,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Medical Testing / ISenses / Immunization,1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
Medium Hazard Industrial,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Farmers Market,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Fire / Life Safety Education,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Private High School,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Private Irrigation Utilities,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Private and Express Shipping Facility,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Processing Facility,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Professional Centre,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Provincial Government Offices,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Provincial Logistics Centre,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Psychiatric Treatment Facility,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Historic Sites / Library,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Historic Sites / Museum,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
ECOLE ACADIENNE,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Arboretum / Botanical Garden,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Art Museum,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Recycling Station,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Cultural Services,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Cultural Spaces and Facilities,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Performance, Gallery/Exhibition, Museum",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Former Elementary School,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Police Office,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Port Facility,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Port Facility: Passenger Terminal,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Post-Secondary Education,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Poste de distribution utilités publiques,1,1,QC,0.0,99.9868,QC,UNMAPPED -> dropped,no,,,
DND / Military Facility,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Detachd garage,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Refinery,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Regional Fire Management Centre,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Resort Residential Dwelling,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Restaurant, Bar, Gallery/Exhibition",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Restaurant, Bar, Performance",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Restaurant, Cafe, Bar, Performance",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Restaurant, Cafe, Performance",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Restaurant, Education",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Performance / Community Centre,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Performance / Education,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Gallery/Exhibition, Creation, Education",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Gallery/Exhibition, Creation, Retail, Education",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Gallery/Exhibition, Event, Education",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Gallery/Exhibition, Museum, Retail, Education",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Gallery/Exhibition, Performance, Retail, Rehearsal, Creation",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Gallery/Exhibition, Retail, Creation",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Gallery/Exhibition, Retail, Creation, Education",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Performance Space - Outdoor Venue,1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
"Restaurant, Performance",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
"Restaurant, Retail",1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Retail / Cafe,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Retail / Performance / Park,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
County Office,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Creation / Education / Gallery / Exhibition,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Creation / Historic Sites / Education / Event,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Golf Club,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Outdoor Theatre / Amphitheatre,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
POLC,1,1,NT,0.0,99.9868,NT,UNMAPPED -> dropped,no,,,
Pagoda,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Paramedic Facilities - Satellite Station,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Park Operations Centre,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Park Shelter,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Parking,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Parking Shelter,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Parks and Rec Maintenance Shed,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Peel Builds,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Rugby Clubhouse,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
SG,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Sawmill - Large,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Community Rec/Centre - Board Run,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Community/Rec Centre - Private,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Community/Rec Centre AOCC,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Convent,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Corporate Training Centre,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
School District,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Community Centre / Education / Event / Historic Sites / Fitness / Recreation,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Community Centre / Education / Historic Sites,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Community Centres / Creation / Education,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Community Centres / Education,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Community Centres / Performance / Education,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Community Group,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Commercial - Mid Rise,1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
Commercial and Office,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Commerciall,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Government or Military Facility,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Grocery,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Office Space,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Ontario Provincial Police,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Gas,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Gatehouse,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Genera/Residential,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
General/Reidential,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
General/residential,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Service Canada,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Service Station,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Single-family detached home and attached garage,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Institutional Pharmacy,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Interim Long Term Care Centre,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
LEASE,1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
Lighthouse property//Propriété du phare,1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
Lodge,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Hall,1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
Hand digitized,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Hanger,1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
Hatchery,1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
Headquarters,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
